date,city,pm2.5,pm10,no,no2,nox,nh3,co,so2,o3,benzene,toluene,xylene,aqi,aqi_bucket
2015-01-19,Ahmedabad,48.57,95.68,2.51,26.88,27.45,15.85,1.9900000000000002,9.16,49.48,0.26,0.02,0.98,118.0,Very Poor
2015-01-20,Ahmedabad,48.57,95.68,7.92,26.8,32.4,15.85,0.88,9.16,56.37,0.24,0.01,0.98,118.0,Very Poor
2015-01-21,Ahmedabad,48.57,95.68,9.52,33.56,39.28,15.85,0.88,9.16,48.75,0.33,0.0,0.98,118.0,Very Poor
2015-01-22,Ahmedabad,48.57,95.68,9.05,17.51,22.33,15.85,0.88,17.814999999999998,42.22,0.0,0.0,0.98,118.0,Very Poor
2015-01-23,Ahmedabad,48.57,95.68,21.085,27.96,47.79,15.85,0.88,9.16,32.92,0.39,0.0,0.98,118.0,Poor
2015-01-24,Ahmedabad,48.57,95.68,2.03,20.39,21.4,15.85,1.9900000000000002,9.16,32.49,0.47,0.7,0.98,118.0,Very Poor
2015-01-25,Ahmedabad,48.57,95.68,1.42,20.43,20.19,15.85,1.42,9.16,39.26,0.01,0.0,0.98,118.0,Very Poor
2015-01-26,Ahmedabad,48.57,95.68,2.27,21.16,21.81,15.85,1.9900000000000002,9.16,39.83,0.06,0.0,0.98,118.0,Very Poor
2015-01-27,Ahmedabad,48.57,95.68,2.19,21.7,23.26,15.85,1.9900000000000002,9.16,41.1,0.02,0.0,0.98,118.0,Poor
2015-01-28,Ahmedabad,73.24,95.68,5.72,21.11,25.84,15.85,0.88,9.16,62.42,0.03,0.01,0.98,118.0,Poor
2015-01-29,Ahmedabad,83.13,95.68,6.93,28.71,33.72,15.85,0.88,9.16,59.76,0.02,0.0,0.98,200.5,Poor
2015-01-30,Ahmedabad,79.84,95.68,13.85,28.68,41.08,15.85,0.88,9.16,30.84,0.04,0.0,0.98,118.0,Very Poor
2015-01-31,Ahmedabad,94.52,95.68,21.085,32.66,49.644999999999996,15.85,0.88,9.16,30.84,0.24,0.01,0.98,118.0,Severe
2015-02-01,Ahmedabad,48.57,95.68,9.89,42.08,23.52,15.85,0.88,9.16,30.84,0.4,0.04,0.98,118.0,Severe
2015-02-02,Ahmedabad,48.57,95.68,9.89,35.31,23.52,15.85,0.88,9.16,30.84,0.46,0.06,0.98,118.0,Severe
2015-02-03,Ahmedabad,48.57,95.68,21.085,28.4,49.644999999999996,15.85,0.88,9.16,68.34,0.17,0.03,0.98,118.0,Severe
2015-02-04,Ahmedabad,80.65,95.68,2.37,22.83,24.0,15.85,1.9900000000000002,9.16,47.3,0.0,0.0,0.98,200.5,Poor
2015-02-05,Ahmedabad,58.36,95.68,2.6,21.39,23.31,15.85,1.9900000000000002,9.16,53.54,0.0,0.0,0.98,149.0,Moderate
2015-02-06,Ahmedabad,79.29,95.68,1.16,26.94,26.83,15.85,1.16,9.16,59.3,0.0,0.0,0.98,190.0,Moderate
2015-02-07,Ahmedabad,88.7,95.68,7.29,31.32,37.73,15.85,0.88,9.16,44.76,0.0,0.0,0.98,200.5,Poor
2015-02-08,Ahmedabad,74.28,95.68,8.92,27.3,33.42,15.85,0.88,9.16,47.42,0.0,0.0,0.98,118.0,Very Poor
2015-02-09,Ahmedabad,97.35,95.68,4.32,24.27,26.86,15.85,0.88,9.16,39.94,0.02,0.0,0.98,118.0,Very Poor
2015-02-10,Ahmedabad,97.35,95.68,1.41,18.21,18.75,15.85,1.41,9.16,56.15,0.0,0.0,0.98,200.5,Poor
2015-02-11,Ahmedabad,66.52,95.68,6.34,23.8,28.24,15.85,0.88,9.16,53.14,1.07,5.505000000000001,0.98,118.0,Very Poor
2015-02-12,Ahmedabad,65.04,95.68,14.19,30.1,44.21,15.85,0.88,9.16,31.88,1.07,2.97,0.98,200.5,Poor
2015-02-13,Ahmedabad,97.35,95.68,18.18,39.56,49.644999999999996,15.85,0.88,9.16,40.11,1.07,2.97,0.98,118.0,Severe
2015-02-14,Ahmedabad,48.57,95.68,9.89,47.58,23.52,15.85,0.88,9.16,36.47,1.07,2.97,0.98,118.0,Severe
2015-02-15,Ahmedabad,97.35,95.68,15.55,30.5,44.87,15.85,0.88,9.16,33.78,1.07,2.97,0.98,118.0,Severe
2015-02-16,Ahmedabad,97.35,95.68,19.85,28.1,47.31,15.85,0.88,9.16,30.57,1.07,2.97,0.98,118.0,Severe
2015-02-17,Ahmedabad,80.61,95.68,15.96,21.04,35.67,15.85,0.88,9.16,36.2,1.07,2.97,0.98,118.0,Severe
2015-02-18,Ahmedabad,97.35,95.68,16.24,25.93,41.91,15.85,0.88,9.16,37.43,1.07,2.97,0.98,118.0,Severe
2015-02-19,Ahmedabad,97.35,95.68,11.25,30.09,40.47,15.85,0.88,9.16,31.94,1.07,2.97,0.98,118.0,Severe
2015-02-20,Ahmedabad,48.57,95.68,21.085,36.14,23.52,15.85,0.88,9.16,40.98,1.07,2.97,0.98,118.0,Severe
2015-02-21,Ahmedabad,48.57,95.68,9.89,46.25,23.52,15.85,0.88,9.16,33.55,1.07,2.97,0.98,118.0,Severe
2015-02-22,Ahmedabad,48.57,95.68,9.89,48.21,23.52,15.85,0.88,9.16,34.77,1.07,2.97,0.98,118.0,Severe
2015-02-23,Ahmedabad,48.57,95.68,9.89,55.07,23.52,15.85,0.88,9.16,37.3,1.07,2.97,0.98,118.0,Severe
2015-02-24,Ahmedabad,97.35,95.68,12.56,32.01,42.56,15.85,0.88,9.16,38.8,1.07,2.97,0.98,118.0,Severe
2015-02-25,Ahmedabad,52.99,95.68,2.23,10.45,10.39,15.85,1.9900000000000002,9.16,67.25,3.54,5.505000000000001,0.98,200.5,Poor
2015-02-26,Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,0.98,118.0,Very Poor
2015-02-27,Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,0.98,118.0,Very Poor
2015-02-28,Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,0.98,118.0,Very Poor
2015-03-01,Ahmedabad,61.12,95.68,3.58,16.81,20.92,15.85,0.88,9.16,30.48,2.69,1.58,0.98,118.0,Very Poor
2015-03-02,Ahmedabad,60.78,95.68,9.07,18.21,27.34,15.85,0.88,9.16,34.75,2.05,0.55,0.98,189.0,Moderate
2015-03-03,Ahmedabad,91.83,95.68,12.99,28.71,40.76,15.85,0.88,9.16,38.46,2.69,1.74,0.98,118.0,Severe
2015-03-04,Ahmedabad,93.88,95.68,18.21,29.38,47.01,15.85,0.88,9.16,46.79,3.54,2.55,0.98,118.0,Very Poor
2015-03-05,Ahmedabad,48.57,95.68,9.89,42.27,23.52,15.85,0.88,9.16,59.39,1.07,5.505000000000001,0.98,118.0,Severe
2015-03-06,Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,0.98,118.0,Severe
2015-03-07,Ahmedabad,97.35,95.68,2.5,16.1,18.66,15.85,1.9900000000000002,9.16,68.34,1.07,5.505000000000001,0.98,118.0,Poor
2015-03-08,Ahmedabad,71.56,95.68,3.51,16.83,20.32,15.85,0.88,9.16,57.16,3.54,5.505000000000001,0.98,190.0,Moderate
2015-03-09,Ahmedabad,97.35,95.68,4.13,24.07,27.9,15.85,0.88,9.16,50.49,3.54,5.505000000000001,0.98,200.5,Poor
2015-03-10,Ahmedabad,97.35,95.68,5.39,25.59,30.51,15.85,0.88,9.16,60.17,3.54,2.97,0.98,200.5,Poor
2015-03-11,Ahmedabad,97.35,95.68,4.11,28.94,31.83,15.85,0.88,9.16,53.61,1.07,2.97,0.98,118.0,Very Poor
2015-03-12,Ahmedabad,97.35,95.68,4.28,27.31,30.54,15.85,0.88,9.16,40.91,1.07,2.97,0.98,200.5,Poor
2015-03-13,Ahmedabad,97.34,95.68,3.67,21.58,24.62,15.85,0.88,9.16,45.69,3.54,2.97,0.98,200.5,Poor
2015-03-14,Ahmedabad,83.92,95.68,6.42,25.03,30.8,15.85,0.88,9.16,34.94,1.07,2.97,0.98,200.5,Poor
2015-03-15,Ahmedabad,49.51,95.68,3.1,14.16,16.15,15.85,0.88,9.16,37.95,3.54,5.505000000000001,0.98,200.5,Poor
2015-03-16,Ahmedabad,30.76,95.68,2.72,14.14,16.98,15.85,0.88,9.16,54.78,3.54,5.505000000000001,0.98,118.0,Moderate
2015-03-17,Ahmedabad,50.29,95.68,5.34,29.84,33.28,15.85,0.88,9.16,45.44,3.54,2.97,0.98,200.5,Poor
2015-03-18,Ahmedabad,57.69,95.68,21.085,29.48,49.644999999999996,15.85,0.88,9.16,52.87,1.07,2.97,0.98,200.5,Poor
2015-03-19,Ahmedabad,97.35,95.68,9.89,37.05,23.52,15.85,0.88,9.16,45.65,1.07,2.97,0.98,118.0,Severe
2015-03-20,Ahmedabad,94.1,95.68,21.085,36.53,49.644999999999996,15.85,0.88,9.16,46.77,1.07,2.97,0.98,118.0,Severe
2015-03-21,Ahmedabad,97.35,95.68,21.085,43.29,49.644999999999996,15.85,0.88,9.16,50.57,1.07,2.97,0.98,118.0,Severe
2015-03-22,Ahmedabad,97.35,95.68,21.085,39.34,49.644999999999996,15.85,0.88,9.16,46.68,1.07,2.97,0.98,118.0,Severe
2015-03-23,Ahmedabad,97.35,95.68,9.89,41.03,23.52,15.85,0.88,9.16,41.58,1.07,2.97,0.98,118.0,Severe
2015-03-24,Ahmedabad,48.57,95.68,21.085,31.15,49.644999999999996,15.85,0.88,9.16,35.38,1.07,2.97,0.98,118.0,Severe
2015-03-25,Ahmedabad,48.57,95.68,21.085,34.48,49.644999999999996,15.85,0.88,9.16,43.79,1.07,2.97,0.98,118.0,Severe
2015-03-26,Ahmedabad,48.57,95.68,17.93,43.3,49.644999999999996,15.85,0.88,9.16,53.44,1.07,2.97,0.98,118.0,Severe
2015-03-27,Ahmedabad,48.57,95.68,6.4,35.82,40.22,15.85,0.88,9.16,17.94,1.07,2.97,0.98,118.0,Severe
2015-03-28,Ahmedabad,48.57,95.68,5.86,27.89,32.65,15.85,0.88,9.16,38.54,1.07,2.97,0.98,118.0,Very Poor
2015-03-29,Ahmedabad,48.57,95.68,4.99,21.8,25.37,15.85,0.88,9.16,39.77,1.07,2.97,0.98,118.0,Very Poor
2015-03-30,Ahmedabad,48.57,95.68,3.88,17.99,21.02,15.85,0.88,9.16,39.66,1.07,5.505000000000001,0.98,118.0,Very Poor
2015-03-31,Ahmedabad,48.57,95.68,6.52,20.0,26.18,15.85,0.88,9.16,59.03,1.07,2.97,0.98,118.0,Very Poor
2015-04-01,Ahmedabad,96.04,95.68,3.8,20.07,23.46,15.85,0.88,9.16,46.61,1.07,2.97,0.98,118.0,Very Poor
2015-04-02,Ahmedabad,77.69,95.68,5.24,18.87,23.06,15.85,0.88,9.16,27.14,1.07,5.505000000000001,0.98,200.5,Poor
2015-04-03,Ahmedabad,53.07,95.68,4.17,13.82,17.45,15.85,0.88,9.16,21.76,3.54,5.505000000000001,0.98,169.0,Moderate
2015-04-04,Ahmedabad,63.11,95.68,5.63,15.5,18.49,15.85,0.88,9.16,4.72,3.54,5.505000000000001,0.98,200.5,Poor
2015-04-05,Ahmedabad,48.57,95.68,3.92,16.7,20.97,15.85,0.88,9.16,37.11,3.54,5.505000000000001,0.98,118.0,Poor
2015-04-06,Ahmedabad,97.35,95.68,4.23,20.86,25.02,15.85,0.88,9.16,35.66,1.07,2.97,0.98,200.5,Very Poor
2015-04-07,Ahmedabad,48.57,95.68,5.65,25.47,30.67,15.85,0.88,9.16,29.77,1.07,2.97,0.98,200.5,Very Poor
2015-04-08,Ahmedabad,48.57,95.68,15.82,30.69,46.1,15.85,0.88,9.16,27.34,1.07,2.97,0.98,118.0,Very Poor
2015-04-09,Ahmedabad,85.03,95.68,3.3,26.7,27.41,15.85,0.88,9.16,35.89,1.07,2.97,0.98,118.0,Severe
2015-04-10,Ahmedabad,48.57,95.68,5.9,26.27,28.7,15.85,0.88,9.16,7.0,0.0,0.0,0.98,118.0,Severe
2015-04-11,Ahmedabad,61.06,95.68,3.52,14.03,17.59,15.85,0.88,8.08,19.54,0.0,0.0,0.98,126.0,Moderate
2015-04-12,Ahmedabad,39.42,95.68,5.28,19.56,24.66,15.85,0.88,17.66,31.3,0.0,0.0,0.98,175.0,Moderate
2015-04-13,Ahmedabad,97.35,95.68,3.89,22.51,25.17,15.85,0.88,15.84,31.23,0.0,0.0,0.98,200.5,Poor
2015-04-14,Ahmedabad,58.37,95.68,5.74,21.71,27.69,15.85,0.88,9.16,43.92,2.15,5.505000000000001,0.98,200.5,Poor
2015-04-15,Ahmedabad,95.37,95.68,18.01,26.23,44.34,15.85,0.88,13.59,41.64,1.21,3.28,0.98,200.5,Very Poor
2015-04-16,Ahmedabad,48.57,95.68,21.085,36.88,49.644999999999996,15.85,0.88,9.16,37.66,0.66,0.01,0.98,118.0,Severe
2015-04-17,Ahmedabad,97.35,95.68,19.91,46.38,49.644999999999996,15.85,0.88,9.16,48.49,1.67,0.0,0.98,118.0,Severe
2015-04-18,Ahmedabad,97.35,95.68,4.3,20.27,22.86,15.85,0.88,9.16,31.34,0.05,0.0,0.98,200.5,Poor
2015-04-19,Ahmedabad,97.35,95.68,6.99,20.18,26.78,15.85,0.88,9.16,28.71,0.2,0.0,0.98,118.0,Very Poor
2015-04-20,Ahmedabad,71.22,95.68,16.73,21.32,37.58,15.85,0.88,9.16,28.39,1.38,2.97,0.98,118.0,Very Poor
2015-04-21,Ahmedabad,97.35,95.68,6.3,17.96,23.45,15.85,0.88,13.85,34.16,0.21,4.91,0.98,118.0,Very Poor
2015-04-22,Ahmedabad,63.38,95.68,3.44,13.28,15.44,15.85,0.88,17.814999999999998,43.62,0.0,0.0,0.98,189.0,Moderate
2015-04-23,Ahmedabad,75.29,95.68,3.35,14.29,17.97,15.85,0.88,9.16,60.71,0.0,0.01,0.98,118.0,Good
2015-04-24,Ahmedabad,80.9,95.68,5.7,18.62,24.23,15.85,0.88,9.16,22.8,0.05,0.09,0.98,200.5,Poor
2015-04-25,Ahmedabad,97.35,95.68,4.55,19.82,23.69,15.85,0.88,9.16,22.18,0.06,1.17,0.98,200.5,Poor
2015-04-26,Ahmedabad,97.35,95.68,5.29,15.56,19.73,15.85,0.88,9.16,10.12,0.09,0.16,0.98,200.5,Poor
2015-04-27,Ahmedabad,48.57,95.68,3.11,14.77,16.12,15.85,0.88,9.16,59.73,0.0,2.55,0.98,118.0,Poor
2015-04-28,Ahmedabad,97.35,95.68,3.88,12.74,16.82,15.85,0.88,9.16,26.89,0.02,5.505000000000001,0.98,118.0,Poor
2015-04-29,Ahmedabad,48.57,95.68,5.05,16.7,21.56,15.85,0.88,9.16,27.18,0.01,0.88,0.98,200.5,Poor
2015-04-30,Ahmedabad,97.35,95.68,5.69,14.86,19.66,15.85,0.88,9.16,18.67,0.0,0.0,0.98,118.0,Very Poor
2015-05-01,Ahmedabad,96.65,95.68,4.67,15.9,20.53,15.85,0.88,9.16,11.83,0.01,0.0,0.98,200.5,Poor
2015-05-02,Ahmedabad,97.35,95.68,15.69,23.93,39.73,15.85,0.88,9.16,36.71,0.22,0.04,0.98,118.0,Very Poor
2015-05-03,Ahmedabad,97.35,95.68,13.12,23.02,35.05,15.85,0.88,9.16,30.84,0.3,0.02,0.98,118.0,Severe
2015-05-04,Ahmedabad,86.31,95.68,2.69,10.5,10.9,15.85,0.88,9.16,30.84,0.47,0.15,0.98,200.5,Very Poor
2015-05-05,Ahmedabad,83.99,95.68,2.73,0.08,2.75,15.85,0.88,9.16,68.34,0.28,0.05,0.98,200.5,Poor
2015-05-06,Ahmedabad,65.11,95.68,3.14,4.58,6.75,15.85,0.88,17.814999999999998,32.26,0.17,0.04,0.98,120.0,Moderate
2015-05-07,Ahmedabad,51.03,95.68,6.24,20.47,26.2,15.85,0.88,15.5,31.44,0.0,0.0,0.98,158.0,Moderate
2015-05-08,Ahmedabad,38.73,95.68,8.0,19.28,26.61,15.85,0.88,17.814999999999998,25.7,0.0,0.0,0.98,177.0,Moderate
2015-05-09,Ahmedabad,61.12,95.68,9.94,17.82,27.18,15.85,0.88,9.16,25.9,0.0,0.0,0.98,200.5,Poor
2015-05-10,Ahmedabad,58.44,95.68,10.68,17.24,27.38,15.85,0.88,9.16,18.89,0.0,0.0,0.98,200.5,Poor
2015-05-11,Ahmedabad,61.49,95.68,11.44,16.69,27.61,15.85,0.88,9.16,18.2,0.01,0.0,0.98,200.5,Poor
2015-05-12,Ahmedabad,65.39,95.68,12.3,16.08,27.86,15.85,0.88,9.16,22.35,0.0,0.0,0.98,200.5,Poor
2015-05-13,Ahmedabad,97.35,95.68,20.42,18.9,37.83,15.85,0.88,9.16,22.84,3.54,2.97,0.98,118.0,Severe
2015-05-14,Ahmedabad,97.35,95.68,5.31,30.02,33.62,15.85,0.88,9.16,16.26,1.07,2.97,0.98,118.0,Very Poor
2015-05-15,Ahmedabad,97.35,95.68,14.28,28.33,41.92,15.85,0.88,9.16,25.4,1.07,2.97,0.98,118.0,Very Poor
2015-05-16,Ahmedabad,97.35,95.68,21.085,28.79,45.4,15.85,0.88,17.66,34.42,1.07,2.97,0.98,118.0,Severe
2015-05-17,Ahmedabad,97.35,95.68,7.56,18.79,24.33,15.85,0.88,9.16,38.83,3.54,2.97,0.98,118.0,Severe
2015-05-18,Ahmedabad,97.35,95.68,7.14,17.43,23.72,15.85,0.88,9.16,29.05,3.54,2.97,0.98,200.5,Poor
2015-05-19,Ahmedabad,53.24,95.68,8.05,15.86,23.34,15.85,0.88,9.16,21.58,3.54,2.97,0.98,200.5,Poor
2015-05-20,Ahmedabad,42.0,95.68,10.44,18.16,21.8,15.85,0.88,17.0,25.5,0.0,0.0,0.98,162.0,Moderate
2015-05-21,Ahmedabad,50.1,95.68,9.46,14.9,22.5,15.85,0.88,9.16,12.91,0.41,1.89,0.98,118.0,Satisfactory
2015-05-22,Ahmedabad,83.69,95.68,10.89,17.18,27.15,15.85,0.88,9.16,35.61,1.07,2.97,0.98,118.0,Severe
2015-05-23,Ahmedabad,38.88,95.68,2.18,16.28,17.74,15.85,1.9900000000000002,9.16,12.47,3.0,5.505000000000001,0.98,128.0,Moderate
2015-05-24,Ahmedabad,46.89,95.68,2.96,16.17,18.49,15.85,0.88,9.16,10.74,3.41,5.505000000000001,0.98,129.0,Moderate
2015-05-25,Ahmedabad,70.96,95.68,4.12,15.47,19.28,15.85,0.88,17.814999999999998,16.01,3.54,5.505000000000001,0.98,152.0,Moderate
2015-05-26,Ahmedabad,53.66,95.68,4.23,14.43,18.06,15.85,0.88,14.46,45.64,2.39,5.505000000000001,0.98,176.0,Moderate
2015-05-27,Ahmedabad,45.49,95.68,4.26,13.73,17.1,15.85,0.88,12.85,68.34,2.5,5.505000000000001,0.98,167.0,Moderate
2015-05-28,Ahmedabad,60.86,95.68,5.27,16.61,21.42,15.85,0.88,14.91,41.19,3.03,5.505000000000001,0.98,106.0,Moderate
2015-05-29,Ahmedabad,51.93,95.68,13.71,17.87,31.64,15.85,0.88,15.33,12.88,1.07,2.97,0.98,200.5,Poor
2015-05-30,Ahmedabad,77.87,95.68,6.67,17.12,23.0,15.85,0.88,9.16,16.67,3.54,5.505000000000001,0.98,118.0,Very Poor
2015-05-31,Ahmedabad,57.59,95.68,5.6,15.47,20.42,15.85,0.88,9.16,25.51,2.64,5.505000000000001,0.98,174.0,Moderate
2015-06-01,Ahmedabad,77.22,95.68,7.02,15.47,21.13,15.85,0.88,9.16,9.56,3.54,5.505000000000001,0.98,185.0,Moderate
2015-06-02,Ahmedabad,45.29,95.68,7.25,12.74,19.66,15.85,0.88,17.814999999999998,6.32,2.73,5.505000000000001,0.98,179.0,Moderate
2015-06-03,Ahmedabad,97.35,95.68,6.36,13.9,19.86,15.85,0.88,7.76,15.27,0.82,1.37,0.98,200.5,Poor
2015-06-04,Ahmedabad,25.14,95.68,6.01,18.73,24.74,15.85,0.88,9.16,38.52,0.0,0.0,0.98,192.0,Moderate
2015-06-05,Ahmedabad,87.03,95.68,8.05,17.88,25.53,15.85,0.88,17.814999999999998,48.22,0.0,0.0,0.98,200.5,Very Poor
2015-06-06,Ahmedabad,89.6,95.68,6.59,19.84,25.9,15.85,0.88,9.16,44.78,0.0,0.0,0.98,200.5,Poor
2015-06-07,Ahmedabad,80.69,95.68,6.86,16.07,22.25,15.85,0.88,9.16,32.65,0.0,0.0,0.98,192.0,Moderate
2015-06-08,Ahmedabad,44.75,95.68,7.76,16.53,24.29,15.85,0.88,9.89,8.07,0.0,0.0,0.98,191.0,Moderate
2015-06-09,Ahmedabad,38.11,95.68,7.41,11.62,19.03,15.85,0.88,3.13,6.69,2.5,5.505000000000001,0.98,184.0,Moderate
2015-06-10,Ahmedabad,45.5,95.68,8.56,15.59,24.15,15.85,0.88,0.76,3.82,3.54,5.505000000000001,0.98,200.5,Poor
2015-06-11,Ahmedabad,36.98,95.68,8.21,11.52,19.74,15.85,0.88,0.52,5.17,3.54,5.505000000000001,0.98,200.5,Poor
2015-06-12,Ahmedabad,43.58,95.68,8.26,13.33,21.58,15.85,0.88,1.02,7.56,3.54,5.505000000000001,0.98,200.5,Poor
2015-06-13,Ahmedabad,45.49,95.68,9.63,14.91,24.53,15.85,0.88,0.81,2.94,3.54,5.505000000000001,0.98,200.5,Poor
2015-06-14,Ahmedabad,38.06,95.68,8.67,18.57,27.25,15.85,0.88,1.05,4.63,2.85,5.12,0.98,200.5,Poor
2015-06-15,Ahmedabad,45.41,95.68,9.35,20.55,29.9,15.85,0.88,0.74,4.5,2.83,5.505000000000001,0.98,200.5,Poor
2015-06-16,Ahmedabad,37.71,95.68,8.54,16.26,24.8,15.85,0.88,0.87,4.6,2.52,5.505000000000001,0.98,198.0,Moderate
2015-06-17,Ahmedabad,32.37,95.68,7.53,14.36,21.89,15.85,0.88,2.17,12.17,1.88,5.505000000000001,0.98,195.0,Moderate
2015-06-18,Ahmedabad,34.74,95.68,7.59,13.51,21.11,15.85,0.88,4.11,12.22,1.82,5.505000000000001,0.98,187.0,Moderate
2015-06-19,Ahmedabad,32.56,95.68,7.34,13.91,21.25,15.85,0.88,4.04,11.85,2.55,5.505000000000001,0.98,181.0,Moderate
2015-06-20,Ahmedabad,29.28,95.68,7.55,11.68,19.23,15.85,0.88,4.01,12.64,1.64,5.505000000000001,0.98,179.0,Moderate
2015-06-21,Ahmedabad,20.46,95.68,7.15,10.61,17.76,15.85,0.88,5.62,12.7,1.26,5.17,0.98,188.0,Moderate
2015-06-22,Ahmedabad,26.07,95.68,7.99,11.07,19.06,15.85,0.88,4.1,10.57,1.5,5.505000000000001,0.98,190.0,Moderate
2015-06-23,Ahmedabad,21.43,95.68,7.45,11.16,18.62,15.85,0.88,4.99,7.38,1.4,5.505000000000001,0.98,185.0,Moderate
2015-06-24,Ahmedabad,11.91,95.68,7.34,10.1,17.44,15.85,0.88,10.86,5.47,1.3,5.505000000000001,0.98,189.0,Moderate
2015-06-25,Ahmedabad,57.75,95.68,8.68,9.68,18.36,15.85,0.88,12.28,3.06,1.98,5.505000000000001,0.98,196.0,Moderate
2015-06-26,Ahmedabad,66.39,95.68,8.58,12.79,21.36,15.85,0.88,11.09,4.96,1.76,5.505000000000001,0.98,200.5,Poor
2015-06-27,Ahmedabad,62.61,95.68,9.15,9.83,18.98,15.85,0.88,12.31,6.44,1.87,5.47,0.98,200.5,Poor
2015-06-28,Ahmedabad,47.5,95.68,8.07,9.53,17.59,15.85,0.88,13.91,7.28,1.34,3.97,0.98,196.0,Moderate
2015-06-29,Ahmedabad,97.35,95.68,9.23,11.51,20.74,15.85,0.88,5.27,5.99,1.84,5.505000000000001,0.98,200.5,Poor
2015-06-30,Ahmedabad,30.0,95.68,8.87,13.59,22.64,15.85,0.88,8.09,6.31,1.32,4.59,0.98,200.5,Poor
2015-07-01,Ahmedabad,4.66,95.68,9.01,10.9,20.36,15.85,0.88,7.31,6.38,1.27,3.94,0.98,200.5,Poor
2015-07-02,Ahmedabad,48.72,95.68,9.56,11.94,21.5,15.85,0.88,5.72,6.61,1.77,4.96,0.98,200.5,Poor
2015-07-03,Ahmedabad,49.7,95.68,9.43,9.81,19.23,15.85,0.88,6.78,6.42,2.0,4.79,0.98,200.5,Poor
2015-07-04,Ahmedabad,48.1,95.68,8.03,9.53,17.57,15.85,0.88,9.33,7.6,1.68,4.41,0.98,200.5,Poor
2015-07-05,Ahmedabad,47.43,95.68,8.11,9.45,17.56,15.85,0.88,7.93,7.08,2.1,3.6,0.98,199.0,Moderate
2015-07-06,Ahmedabad,51.74,95.68,8.91,12.38,21.28,15.85,0.88,10.05,5.78,2.15,3.64,0.98,200.0,Moderate
2015-07-07,Ahmedabad,42.68,95.68,9.74,11.08,20.82,15.85,0.88,10.87,4.44,1.62,4.96,0.98,200.5,Poor
2015-07-08,Ahmedabad,38.45,95.68,10.55,7.8,18.35,15.85,0.88,10.28,3.24,2.46,4.79,0.98,200.5,Poor
